ORIGEN,DESTINO,CANAL,TIPO,MONTO,CTD_TRX
U-gHhmBKyh,U-cqZhkYY2,CANAL_2,TIPO_1,1359.15,2
U-jzuvkTGh,U-w4vrNKLp,CANAL_1,TIPO_2,1706.28,1
U-WTLbs1hs,U-Svzx0YwQ,CANAL_2,TIPO_1,1636.88,1
U-a0msCkze,U-ydXGn4Km,CANAL_3,TIPO_2,1514.36,2
U-9oAxTnFo,U-9aLxZrJI,CANAL_2,TIPO_3,1478.68,2
U-LILBqIIn,U-VY8R7il5,CANAL_3,TIPO_2,1519.65,1
U-YFpwxqyC,U-sfhKG8Xf,CANAL_3,TIPO_2,1087.26,2
U-mZmXBGgt,U-AkN3ibqb,CANAL_3,TIPO_3,1514.48,2
U-xwLReiAi,U-rNLp73cq,CANAL_3,TIPO_1,1374.58,1
U-l2w74nRU,U-jnGAknYt,CANAL_1,TIPO_2,1693.37,1
U-ncilCdpX,U-5q3iEcos,CANAL_3,TIPO_2,1680.28,2
U-sqHJvggT,U-vpkVFOj1,CANAL_1,TIPO_2,1576.91,2
U-y7J1jv4S,U-GEArxPpF,CANAL_2,TIPO_2,1380.9,2
U-4NhXfYPK,U-U0iLP2Mn,CANAL_2,TIPO_2,1345.03,2
U-KhZ8YBgG,U-Svzx0YwQ,CANAL_2,TIPO_2,1564.13,2
U-rQIhlgUG,U-AIYJOOea,CANAL_2,TIPO_2,1399.08,2
U-j9DChj2P,U-CiTG8pLT,CANAL_3,TIPO_1,1263.74,2
U-Svzx0YwQ,U-Ji0vzoQX,CANAL_3,TIPO_2,1580.1,1
U-fEJJdbI2,U-D1DRbhA9,CANAL_2,TIPO_3,1424.43,1
U-k1XIQRi0,U-ANEFiskU,CANAL_3,TIPO_2,1930.73,1
U-IKoNZYH3,U-YaPxVogh,CANAL_2,TIPO_2,1509.98,1
U-J0XSdefj,U-kl5oHqCf,CANAL_2,TIPO_1,1551.31,1
U-4BXI9BcF,U-EgxlRX5w,CANAL_3,TIPO_2,1525.64,1
U-UnYlw2Kf,U-gHhmBKyh,CANAL_1,TIPO_1,1604.04,2
U-Oq2thhe2,U-3ZYgIZkW,CANAL_1,TIPO_2,1552.29,2
U-Z6YSbrf7,U-q0HvUmEL,CANAL_2,TIPO_1,1615.03,1
U-FRIckt8n,U-qqz15vnY,CANAL_2,TIPO_2,1593.47,1
U-AJzpSZEx,U-z4Xogjcb,CANAL_3,TIPO_3,1413.99,2
U-3V4orIlS,U-6Zylwyjz,CANAL_1,TIPO_2,1379.73,2
U-9dw6nV0B,U-yQvpqKSp,CANAL_3,TIPO_1,1519.53,1
U-q0HvUmEL,U-lXVCb7LR,CANAL_2,TIPO_3,1500.43,2
U-5SDWj9v8,U-hgNa9V5P,CANAL_2,TIPO_1,1567.62,2
U-OmmWujEi,U-ol2hmzlK,CANAL_2,TIPO_2,1472.36,2
